[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
212495591b58   spark-master     0.05%     162.7MiB / 1GiB     15.89%    45kB / 46.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     17.66%    329.9MiB / 1GiB     32.22%    33.5kB / 39.3kB   0B / 36.9kB       64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   33.68%    337.4MiB / 1GiB     32.95%    13.4kB / 14.4kB   12.3kB / 32.8kB   63
8ee8b1918745   spark-worker-6   42.68%    336.7MiB / 1GiB     32.88%    13.4kB / 14.4kB   0B / 32.8kB       63
f279d8f9bfc6   spark-worker-4   36.13%    336.4MiB / 1GiB     32.86%    13.4kB / 14.4kB   65.5kB / 32.8kB   63
5412fb2fa9ee   spark-worker-1   26.11%    337.7MiB / 1GiB     32.98%    13.4kB / 14.4kB   12.3kB / 32.8kB   62
c59af1fb5af2   spark-worker-2   36.94%    339.4MiB / 1GiB     33.14%    13.4kB / 14.4kB   20.5kB / 32.8kB   62
75b0d3f29b1b   spark-worker-5   16.89%    337.4MiB / 1GiB     32.95%    13.4kB / 14.4kB   0B / 32.8kB       62
212495591b58   spark-master     0.14%     162.7MiB / 1GiB     15.89%    45kB / 46.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     13.48%    330.8MiB / 1GiB     32.31%    64.3kB / 47.3kB   0B / 36.9kB       64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   33.68%    337.4MiB / 1GiB     32.95%    13.4kB / 14.4kB   12.3kB / 32.8kB   63
8ee8b1918745   spark-worker-6   42.68%    336.7MiB / 1GiB     32.88%    13.4kB / 14.4kB   0B / 32.8kB       63
f279d8f9bfc6   spark-worker-4   36.13%    336.4MiB / 1GiB     32.86%    13.4kB / 14.4kB   65.5kB / 32.8kB   63
5412fb2fa9ee   spark-worker-1   26.11%    337.7MiB / 1GiB     32.98%    13.4kB / 14.4kB   12.3kB / 32.8kB   62
c59af1fb5af2   spark-worker-2   36.94%    339.4MiB / 1GiB     33.14%    13.4kB / 14.4kB   20.5kB / 32.8kB   62
75b0d3f29b1b   spark-worker-5   16.89%    337.4MiB / 1GiB     32.95%    13.4kB / 14.4kB   0B / 32.8kB       62
212495591b58   spark-master     0.14%     162.7MiB / 1GiB     15.89%    45kB / 46.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     13.48%    330.8MiB / 1GiB     32.31%    64.3kB / 47.3kB   0B / 36.9kB       64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   1.70%     337.5MiB / 1GiB     32.96%    13.4kB / 14.4kB   12.3kB / 32.8kB   62
8ee8b1918745   spark-worker-6   3.55%     336.8MiB / 1GiB     32.89%    13.4kB / 14.4kB   0B / 32.8kB       62
f279d8f9bfc6   spark-worker-4   3.73%     336.5MiB / 1GiB     32.87%    13.4kB / 14.4kB   65.5kB / 32.8kB   62
5412fb2fa9ee   spark-worker-1   5.93%     337.8MiB / 1GiB     32.99%    13.4kB / 14.4kB   12.3kB / 32.8kB   61
c59af1fb5af2   spark-worker-2   1.85%     339.5MiB / 1GiB     33.15%    13.4kB / 14.4kB   20.5kB / 32.8kB   61
75b0d3f29b1b   spark-worker-5   3.32%     337.5MiB / 1GiB     32.96%    13.4kB / 14.4kB   0B / 32.8kB       61
212495591b58   spark-master     0.68%     162.7MiB / 1GiB     15.89%    45kB / 46.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     1.60%     330.8MiB / 1GiB     32.31%    64.3kB / 47.5kB   0B / 36.9kB       64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   1.70%     337.5MiB / 1GiB     32.96%    13.4kB / 14.4kB   12.3kB / 32.8kB   62
8ee8b1918745   spark-worker-6   3.55%     336.8MiB / 1GiB     32.89%    13.4kB / 14.4kB   0B / 32.8kB       62
f279d8f9bfc6   spark-worker-4   3.73%     336.5MiB / 1GiB     32.87%    13.4kB / 14.4kB   65.5kB / 32.8kB   62
5412fb2fa9ee   spark-worker-1   5.93%     337.8MiB / 1GiB     32.99%    13.4kB / 14.4kB   12.3kB / 32.8kB   61
c59af1fb5af2   spark-worker-2   1.85%     339.5MiB / 1GiB     33.15%    13.4kB / 14.4kB   20.5kB / 32.8kB   61
75b0d3f29b1b   spark-worker-5   3.32%     337.5MiB / 1GiB     32.96%    13.4kB / 14.4kB   0B / 32.8kB       61
212495591b58   spark-master     0.68%     162.7MiB / 1GiB     15.89%    45kB / 46.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     1.60%     330.8MiB / 1GiB     32.31%    64.3kB / 47.5kB   0B / 36.9kB       64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   0.97%     337.5MiB / 1GiB     32.96%    13.4kB / 14.4kB   12.3kB / 32.8kB   62
8ee8b1918745   spark-worker-6   1.25%     336.8MiB / 1GiB     32.89%    13.4kB / 14.4kB   0B / 32.8kB       62
f279d8f9bfc6   spark-worker-4   1.27%     336.5MiB / 1GiB     32.87%    13.4kB / 14.4kB   65.5kB / 32.8kB   62
5412fb2fa9ee   spark-worker-1   1.82%     337.8MiB / 1GiB     32.99%    13.4kB / 14.4kB   12.3kB / 32.8kB   61
c59af1fb5af2   spark-worker-2   1.19%     339.5MiB / 1GiB     33.15%    13.4kB / 14.4kB   20.5kB / 32.8kB   61
75b0d3f29b1b   spark-worker-5   0.78%     337.5MiB / 1GiB     32.96%    13.4kB / 14.4kB   0B / 32.8kB       61
212495591b58   spark-master     0.45%     162.7MiB / 1GiB     15.89%    45kB / 46.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     4.20%     330.9MiB / 1GiB     32.32%    69kB / 48.7kB     0B / 36.9kB       64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   0.97%     337.5MiB / 1GiB     32.96%    13.4kB / 14.4kB   12.3kB / 32.8kB   62
8ee8b1918745   spark-worker-6   1.25%     336.8MiB / 1GiB     32.89%    13.4kB / 14.4kB   0B / 32.8kB       62
f279d8f9bfc6   spark-worker-4   1.27%     336.5MiB / 1GiB     32.87%    13.4kB / 14.4kB   65.5kB / 32.8kB   62
5412fb2fa9ee   spark-worker-1   1.82%     337.8MiB / 1GiB     32.99%    13.4kB / 14.4kB   12.3kB / 32.8kB   61
c59af1fb5af2   spark-worker-2   1.19%     339.5MiB / 1GiB     33.15%    13.4kB / 14.4kB   20.5kB / 32.8kB   61
75b0d3f29b1b   spark-worker-5   0.78%     337.5MiB / 1GiB     32.96%    13.4kB / 14.4kB   0B / 32.8kB       61
212495591b58   spark-master     0.45%     162.7MiB / 1GiB     15.89%    45kB / 46.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     4.20%     330.9MiB / 1GiB     32.32%    69kB / 48.7kB     0B / 36.9kB       64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   0.59%     337.5MiB / 1GiB     32.96%    13.4kB / 14.4kB   12.3kB / 32.8kB   62
8ee8b1918745   spark-worker-6   1.66%     336.8MiB / 1GiB     32.89%    13.4kB / 14.4kB   0B / 32.8kB       62
f279d8f9bfc6   spark-worker-4   1.78%     336.5MiB / 1GiB     32.87%    13.4kB / 14.4kB   65.5kB / 32.8kB   62
5412fb2fa9ee   spark-worker-1   0.58%     337.8MiB / 1GiB     32.99%    13.4kB / 14.4kB   12.3kB / 32.8kB   61
c59af1fb5af2   spark-worker-2   3.21%     339.5MiB / 1GiB     33.15%    13.4kB / 14.4kB   20.5kB / 32.8kB   61
75b0d3f29b1b   spark-worker-5   0.60%     337.5MiB / 1GiB     32.96%    13.4kB / 14.4kB   0B / 32.8kB       61
212495591b58   spark-master     0.38%     162.7MiB / 1GiB     15.89%    45kB / 46.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     4.32%     331.1MiB / 1GiB     32.33%    153kB / 50.5kB    0B / 36.9kB       64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   0.59%     337.5MiB / 1GiB     32.96%    13.4kB / 14.4kB   12.3kB / 32.8kB   62
8ee8b1918745   spark-worker-6   1.66%     336.8MiB / 1GiB     32.89%    13.4kB / 14.4kB   0B / 32.8kB       62
f279d8f9bfc6   spark-worker-4   1.78%     336.5MiB / 1GiB     32.87%    13.4kB / 14.4kB   65.5kB / 32.8kB   62
5412fb2fa9ee   spark-worker-1   0.58%     337.8MiB / 1GiB     32.99%    13.4kB / 14.4kB   12.3kB / 32.8kB   61
c59af1fb5af2   spark-worker-2   3.21%     339.5MiB / 1GiB     33.15%    13.4kB / 14.4kB   20.5kB / 32.8kB   61
