[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
32b8509ddfd9   spark-worker-6   0.57%     345MiB / 1GiB       33.69%    307MB / 351MB     2.22MB / 52MB     60
dfa8d3d7f2a8   spark-worker-2   0.71%     272.2MiB / 1GiB     26.58%    341MB / 312MB     63.7MB / 205MB    61
67845b7d52e2   spark-worker-4   1.74%     335.6MiB / 1GiB     32.77%    301MB / 285MB     12.4MB / 56MB     61
ffd9bf1f6a5f   spark-worker-5   1.25%     218.6MiB / 1GiB     21.35%    319MB / 305MB     48.8MB / 216MB    61
6fcd49ee3b4b   spark-master     0.60%     175.6MiB / 1GiB     17.15%    822kB / 188kB     1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     6.23%     338MiB / 1GiB       33.01%    3.13MB / 107kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   0.38%     338.7MiB / 1GiB     33.07%    330MB / 305MB    7.99MB / 71.1MB   61
0f3921b142f1   spark-worker-1   0.49%     328MiB / 1GiB       32.03%    293MB / 326MB    2.53MB / 63.8MB   61
32b8509ddfd9   spark-worker-6   0.45%     345MiB / 1GiB       33.69%    307MB / 351MB    2.22MB / 52MB     60
dfa8d3d7f2a8   spark-worker-2   0.36%     272.2MiB / 1GiB     26.58%    341MB / 312MB    63.7MB / 205MB    61
67845b7d52e2   spark-worker-4   0.25%     335.6MiB / 1GiB     32.77%    301MB / 285MB    12.4MB / 56MB     61
ffd9bf1f6a5f   spark-worker-5   0.30%     218.6MiB / 1GiB     21.35%    319MB / 305MB    48.8MB / 216MB    61
6fcd49ee3b4b   spark-master     0.26%     175.6MiB / 1GiB     17.15%    822kB / 188kB    1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     6.23%     338MiB / 1GiB       33.01%    3.13MB / 107kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   0.38%     338.7MiB / 1GiB     33.07%    330MB / 305MB    7.99MB / 71.1MB   61
0f3921b142f1   spark-worker-1   0.49%     328MiB / 1GiB       32.03%    293MB / 326MB    2.53MB / 63.8MB   61
32b8509ddfd9   spark-worker-6   0.45%     345MiB / 1GiB       33.69%    307MB / 351MB    2.22MB / 52MB     60
dfa8d3d7f2a8   spark-worker-2   0.36%     272.2MiB / 1GiB     26.58%    341MB / 312MB    63.7MB / 205MB    61
67845b7d52e2   spark-worker-4   0.25%     335.6MiB / 1GiB     32.77%    301MB / 285MB    12.4MB / 56MB     61
ffd9bf1f6a5f   spark-worker-5   0.30%     218.6MiB / 1GiB     21.35%    319MB / 305MB    48.8MB / 216MB    61
6fcd49ee3b4b   spark-master     0.26%     175.6MiB / 1GiB     17.15%    822kB / 188kB    1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O         BLOCK I/O         PIDS
167af3246f06   spark-driver     7.41%     338.1MiB / 1GiB     33.02%    4.2MB / 109kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   0.44%     338.7MiB / 1GiB     33.07%    330MB / 305MB   7.99MB / 71.1MB   61
0f3921b142f1   spark-worker-1   0.35%     328MiB / 1GiB       32.03%    293MB / 326MB   2.53MB / 63.8MB   61
32b8509ddfd9   spark-worker-6   0.42%     345MiB / 1GiB       33.69%    307MB / 351MB   2.22MB / 52MB     60
dfa8d3d7f2a8   spark-worker-2   0.34%     272.2MiB / 1GiB     26.58%    341MB / 312MB   63.7MB / 205MB    61
67845b7d52e2   spark-worker-4   0.41%     335.6MiB / 1GiB     32.77%    301MB / 285MB   12.4MB / 56MB     61
ffd9bf1f6a5f   spark-worker-5   0.34%     218.6MiB / 1GiB     21.35%    319MB / 305MB   48.8MB / 216MB    61
6fcd49ee3b4b   spark-master     0.23%     175.6MiB / 1GiB     17.15%    822kB / 188kB   1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O         BLOCK I/O         PIDS
167af3246f06   spark-driver     7.41%     338.1MiB / 1GiB     33.02%    4.2MB / 109kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   0.44%     338.7MiB / 1GiB     33.07%    330MB / 305MB   7.99MB / 71.1MB   61
0f3921b142f1   spark-worker-1   0.35%     328MiB / 1GiB       32.03%    293MB / 326MB   2.53MB / 63.8MB   61
32b8509ddfd9   spark-worker-6   0.42%     345MiB / 1GiB       33.69%    307MB / 351MB   2.22MB / 52MB     60
dfa8d3d7f2a8   spark-worker-2   0.34%     272.2MiB / 1GiB     26.58%    341MB / 312MB   63.7MB / 205MB    61
67845b7d52e2   spark-worker-4   0.41%     335.6MiB / 1GiB     32.77%    301MB / 285MB   12.4MB / 56MB     61
ffd9bf1f6a5f   spark-worker-5   0.34%     218.6MiB / 1GiB     21.35%    319MB / 305MB   48.8MB / 216MB    61
6fcd49ee3b4b   spark-master     0.23%     175.6MiB / 1GiB     17.15%    822kB / 188kB   1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     7.06%     338.4MiB / 1GiB     33.05%    5.58MB / 111kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   0.42%     338.7MiB / 1GiB     33.07%    330MB / 305MB    7.99MB / 71.1MB   61
0f3921b142f1   spark-worker-1   0.38%     328MiB / 1GiB       32.03%    293MB / 326MB    2.53MB / 63.8MB   61
32b8509ddfd9   spark-worker-6   0.35%     345MiB / 1GiB       33.69%    307MB / 351MB    2.22MB / 52MB     60
dfa8d3d7f2a8   spark-worker-2   0.31%     272.2MiB / 1GiB     26.58%    341MB / 312MB    63.7MB / 205MB    61
67845b7d52e2   spark-worker-4   0.36%     335.6MiB / 1GiB     32.77%    301MB / 285MB    12.4MB / 56MB     61
ffd9bf1f6a5f   spark-worker-5   0.31%     218.6MiB / 1GiB     21.35%    319MB / 305MB    48.8MB / 216MB    61
6fcd49ee3b4b   spark-master     0.24%     175.6MiB / 1GiB     17.15%    822kB / 188kB    1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     7.06%     338.4MiB / 1GiB     33.05%    5.58MB / 111kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   0.42%     338.7MiB / 1GiB     33.07%    330MB / 305MB    7.99MB / 71.1MB   61
