[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
4896f71aef73   spark-worker-5   72.59%    321.5MiB / 1GiB     31.39%    200MB / 171MB     19MB / 14.4MB     52
f34e9addb485   spark-worker-1   77.68%    216.5MiB / 1GiB     21.14%    197MB / 187MB     123MB / 289MB     49
a5264a101823   spark-master     0.07%     173.1MiB / 1GiB     16.91%    476kB / 119kB     1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     64.64%    402MiB / 1GiB       39.26%    1.66MB / 4.27MB   72.8MB / 1.69MB   66
00e68c3d4611   spark-worker-6   75.09%    192.3MiB / 1GiB     18.78%    174MB / 197MB     285MB / 592MB     48
73bf2fc7d910   spark-worker-4   65.10%    339.9MiB / 1GiB     33.20%    160MB / 177MB     13.9MB / 25.1MB   52
f841a1fea1b2   spark-worker-2   62.30%    329.5MiB / 1GiB     32.18%    153MB / 168MB     10.5MB / 12.8MB   51
4e5b5483ed2f   spark-worker-3   77.77%    357.9MiB / 1GiB     34.95%    170MB / 153MB     56.7MB / 27.6MB   52
4896f71aef73   spark-worker-5   72.59%    321.5MiB / 1GiB     31.39%    200MB / 171MB     19MB / 14.4MB     52
f34e9addb485   spark-worker-1   77.68%    216.5MiB / 1GiB     21.14%    197MB / 187MB     123MB / 289MB     49
a5264a101823   spark-master     0.07%     173.1MiB / 1GiB     16.91%    476kB / 119kB     1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
1ceec149a78c   spark-driver     70.23%    423.2MiB / 1GiB     41.33%    1.69MB / 4.3MB   77MB / 1.69MB     66
00e68c3d4611   spark-worker-6   81.01%    231.8MiB / 1GiB     22.64%    174MB / 197MB    285MB / 592MB     54
73bf2fc7d910   spark-worker-4   65.66%    354MiB / 1GiB       34.57%    160MB / 177MB    13.9MB / 25.1MB   59
f841a1fea1b2   spark-worker-2   67.02%    346.7MiB / 1GiB     33.86%    153MB / 168MB    10.6MB / 12.8MB   61
4e5b5483ed2f   spark-worker-3   66.73%    391.2MiB / 1GiB     38.21%    170MB / 153MB    56.7MB / 27.6MB   59
4896f71aef73   spark-worker-5   73.87%    356.8MiB / 1GiB     34.84%    200MB / 171MB    19MB / 14.4MB     60
f34e9addb485   spark-worker-1   69.43%    250.3MiB / 1GiB     24.44%    197MB / 187MB    123MB / 289MB     54
a5264a101823   spark-master     0.06%     173.1MiB / 1GiB     16.91%    476kB / 119kB    1.76MB / 664kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
1ceec149a78c   spark-driver     70.23%    423.2MiB / 1GiB     41.33%    1.69MB / 4.3MB   77MB / 1.69MB     66
00e68c3d4611   spark-worker-6   81.01%    231.8MiB / 1GiB     22.64%    174MB / 197MB    285MB / 592MB     54
73bf2fc7d910   spark-worker-4   65.66%    354MiB / 1GiB       34.57%    160MB / 177MB    13.9MB / 25.1MB   59
f841a1fea1b2   spark-worker-2   67.02%    346.7MiB / 1GiB     33.86%    153MB / 168MB    10.6MB / 12.8MB   61
4e5b5483ed2f   spark-worker-3   66.73%    391.2MiB / 1GiB     38.21%    170MB / 153MB    56.7MB / 27.6MB   59
4896f71aef73   spark-worker-5   73.87%    356.8MiB / 1GiB     34.84%    200MB / 171MB    19MB / 14.4MB     60
f34e9addb485   spark-worker-1   69.43%    250.3MiB / 1GiB     24.44%    197MB / 187MB    123MB / 289MB     54
a5264a101823   spark-master     0.06%     173.1MiB / 1GiB     16.91%    476kB / 119kB    1.76MB / 664kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
1ceec149a78c   spark-driver     103.26%   443.1MiB / 1GiB     43.27%    1.71MB / 4.3MB   79.5MB / 1.69MB   66
00e68c3d4611   spark-worker-6   33.42%    242.2MiB / 1GiB     23.66%    174MB / 197MB    286MB / 592MB     61
73bf2fc7d910   spark-worker-4   9.22%     355.7MiB / 1GiB     34.73%    160MB / 177MB    13.9MB / 25.1MB   62
f841a1fea1b2   spark-worker-2   0.47%     346.7MiB / 1GiB     33.86%    153MB / 168MB    10.6MB / 12.8MB   61
4e5b5483ed2f   spark-worker-3   13.15%    393.5MiB / 1GiB     38.43%    170MB / 153MB    56.7MB / 27.6MB   62
4896f71aef73   spark-worker-5   5.30%     358.1MiB / 1GiB     34.97%    200MB / 171MB    19MB / 14.4MB     62
f34e9addb485   spark-worker-1   33.17%    262.2MiB / 1GiB     25.61%    197MB / 187MB    124MB / 289MB     62
a5264a101823   spark-master     0.10%     173.1MiB / 1GiB     16.91%    476kB / 119kB    1.76MB / 664kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
1ceec149a78c   spark-driver     103.26%   443.1MiB / 1GiB     43.27%    1.71MB / 4.3MB   79.5MB / 1.69MB   66
00e68c3d4611   spark-worker-6   33.42%    242.2MiB / 1GiB     23.66%    174MB / 197MB    286MB / 592MB     61
73bf2fc7d910   spark-worker-4   9.22%     355.7MiB / 1GiB     34.73%    160MB / 177MB    13.9MB / 25.1MB   62
f841a1fea1b2   spark-worker-2   0.47%     346.7MiB / 1GiB     33.86%    153MB / 168MB    10.6MB / 12.8MB   61
4e5b5483ed2f   spark-worker-3   13.15%    393.5MiB / 1GiB     38.43%    170MB / 153MB    56.7MB / 27.6MB   62
4896f71aef73   spark-worker-5   5.30%     358.1MiB / 1GiB     34.97%    200MB / 171MB    19MB / 14.4MB     62
f34e9addb485   spark-worker-1   33.17%    262.2MiB / 1GiB     25.61%    197MB / 187MB    124MB / 289MB     62
a5264a101823   spark-master     0.10%     173.1MiB / 1GiB     16.91%    476kB / 119kB    1.76MB / 664kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
1ceec149a78c   spark-driver     99.44%    473.9MiB / 1GiB     46.28%    1.71MB / 4.3MB   83.6MB / 1.69MB   66
00e68c3d4611   spark-worker-6   2.30%     242.4MiB / 1GiB     23.67%    174MB / 197MB    286MB / 592MB     60
73bf2fc7d910   spark-worker-4   0.38%     355.7MiB / 1GiB     34.74%    160MB / 177MB    13.9MB / 25.1MB   61
f841a1fea1b2   spark-worker-2   0.44%     346.8MiB / 1GiB     33.87%    153MB / 168MB    10.6MB / 12.8MB   60
4e5b5483ed2f   spark-worker-3   0.47%     393.7MiB / 1GiB     38.45%    170MB / 153MB    56.7MB / 27.6MB   61
